Image	Name	Faction	Type	Cost	Honor	Rarity	Set	Text
	Raving Prophet	Enlightened	Hero	3	1	1	Promo	Draw a card.  Name a card, then reveal the top card of the center deck. If that card is the named card, you may acquire or defeat it without paying its cost.
	Reactor Monk		Soul Gem	0	0	2	IH	Gain (2 Rune). You pay (1 Rune) less the next time you acquire a Construct this turn. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Reactor Monk	Mechana	Hero	4	2	2	CotG	Gain (2 Rune). You pay (1 Rune) less the next time you acquire a Construct this turn.
	Reactor Shrine	Mechana	Construct	8	8	1	RoV	Energize (2): Once this turn, gain (1 Honor) for each Mechana Construct you control.
	Reality Sculptor	Enlightened	Hero	3	1	3	RoV	Copy the effect of a Hero played this turn with cost (3 Rune) or less.
	Reclamax	Mechana	Construct	4	4	2	RotF	FATE: When this enters the center row, each player may choose a construct in their discard pile and put it into their hand.  You may discard Reclamax from play to acquire a Mechana Construct in the Void as though it were in the center row.
	Recyclicrab	Mechana	Construct	3	3	2	IH	While this is in your discard pile, when you play a Mechana Construct, you may return this from your discard pile to your hand.
	Replication Drone	Mechana	Construct	4	4	2	DU	You are considered to control an additional Mechana Construct.
	Repurposer	Mechana	Construct	7	7	1	IH	Once per turn, when you play a Mechana Construct (including this one), you may return a Construct from your discard pile to your hand.
	Riftwalkers Axe	Void		3	2	2	DU	Energize (2): Once this turn, gain (2 Power).
	Righteous Templar	Enlightened	Hero	4	2	2	RoV	Defeat a Monster that costs (4 Power) or less without paying its cost.  Energize (3): Instead, defeat any Monster without paying its cost.
	Ring of Life	Lifebound	Construct	4	2	1	Promo	Once per turn, if you have played a Lifebound Hero, gain (1 Rune).  When Ring of Life enters play, choose a faction. Your Heroes of that faction are also Lifebound Heroes.
	Rise of the Cult	Monster	Event	0	0	0	SoS	Cultists and Fanatics have (+1 Power) and their rewards have (+1 Honor).  Event Trophy: Gain (+1 Honor).
	Rocket Courier X-99	Mechana	Construct	4	4	2	CotG	Once per turn, when you acquire another Mechana Construct, you may put it directly into play.
	Runic Honiskrot	Lifebound	Hero	3	1	2	RoV	Gain (2 Runes).  Energize (3): Gain (2 Power).
	Runic Lycanthrope		Soul Gem	0	0	2	IH	Gain (2 Rune). If you have played another Lifebound Hero this turn, gain (2 Power). (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Runic Lycanthrope	Lifebound	Hero	3	1	2	CotG	Gain (2 Rune). If you have played another Lifebound Hero this turn, gain (2 Power).
	Sabre, the Moonlit	Lifebound	Hero	6	3	1	IH	Gain (1 Rune). Gain (1 Honor). Gain (1 Power).  Draw a card.  Unite: Gain (1 Rune). Gain (1 Honor), Gain (1 Power).  Draw a card.
	Sadranis, Dark Emissary	Void	Hero	7	4	1	RotF	Gain (3 Power). You may defeat a Monster in the Void as though it were in the center row. If you do, put it on the bottom of the center deck.
	Samael Claus	Monster	Trophy	7	5	2	SCTP	Reward: Gain (5 Honor). Reveal cards from the center deck equal to the number of players in the game. Choose one card revealed this way for each player. Each player acquire or defeats the card chosen for them without paying its cost.  Ongoing Trophy: Gain (2 Power) When you play a Samael's Little Helper.
	Samael the Fallen	Monster		8	8	1	RotF	Unbanishable. Reward: Gain (8 Honor). Place this face up in front of you. For the rest of the game, when you defeat a Monster in the center row or the Void, you may acquire it. Monsters in your deck are considered Heroes. When you play them, you gain their (Power).
	Samael's Little Helper	Monster		1	1	10	SCTP	Reward: Gain (1 Honor). Choose a player and put this in that player's discard pile.  While in a player's deck, this is a Hero with, "Gain (1 Power) for each Samael's Little Helper you play or have played this turn (including this one)."
	Samael's Trickster	Monster		3	1	4	CotG	Reward: Gain (1 Honor) and (1 Rune).
	Scrabbling Squad	Mechana	Transformed Hero	2	3	2	DU	Gain (2 Rune) and (2 Power).
	Scrap Flinger	Mechana	Hero	4	2	2	SoS	Gain (2 Power). You may destroy a Construct you control. If you do, gain an additional (2 Power).
	Scrap Scrabbler	Mechana	Hero	2	1	2	DU	Energize (2): Transform this into Scrabbling Squad. (Ignore the rest of this card's effect). Gain (1 Rune) and (1 Power).
	Sea Tyrant	Monster		5	5	3	CotG	Reward: Gain (5 Honor). If an opponent has more than one Construct, that player must destroy all but one Construct he controls.
	Seer of the Forked Path		Soul Gem	0	0	2	IH	Draw a card. You may banish a card in the center row. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Seer of the Forked Path	Enlightened	Hero	2	1	3	CotG	Draw a card. You may banish a card in the center row.
	Serpent Siren	Monster	Trophy	2	1	3	RoV	Reward: Gain (1 Honor).  Trophy: You may banish this to gain (1 Energy).
	Serpentcall	Lifebound	Construct	7	4	1	RotF	Once per turn, gain (2 Rune). Once per turn, you may acquire a Hero in the Void as though it were in the center row.
	Shade of the Black Watch		Soul Gem	0	0	2	IH	Gain (2 Power). You may banish a card in your hand or discard pile. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Shade of the Black Watch	Void	Hero	3	1	3	CotG	Gain (2 Power). You may banish a card in your hand or discard pile.
	Shadow Star	Void	Construct	3	2	2	CotG	Once per turn, gain (1 Power).
	Shadowcaster	Void	Hero	5	3	2	SoS	Draw a card. You may banish a card in your hand. If you do, draw an additional card. If the current event is Void, you may also banish a card is your discard pile.
	Shardfinder Compass	Enlightened	Construct	3	1	1	DU	You may banish this to acquire all of the Treasure in the center row.
	Shuffletron 2K13	Mechana	Construct	2	2	1	Promo	Once per turn, when you play a Mechana Construct (inlcuding this one), you may shuffle your discard pile into your deck. Whenever you would shuffle your deck, you may have an opponent shuffle your deck instead.
	Skyrocket Drone	Mechana	Hero	1	1	3	RoV	Gain (1 Rune) and an additional (1 Rune) if you control a Construct.
	Smoke Tyrant	Monster		7	4	1	DU	Gain (4 Honor). Banish the top seven cards of the center deck. Put all Treasures banished this way under this. Ongoing Trophy: Once per turn, gain (1 Energy) for reach Treasure under this.
	Snake Shaman	Lifebound	Hero	2	1	2	SoS	Gain (1 Rune). If the current event is Lifebound, gain an additional (1 Rune). Once this turn, you may spend up to (4 Rune) to gain that much (Honor).
	Snapdragon	Lifebound	Construct	5	2	2	CotG	Once per turn, gain (1 Rune). The First time you play a Lifebound Hero each turn, gain (1 Honor).
	Socket Altar	Mechana	Construct	6	6	2	RotF	Once per turn, when you put a Mechana Construct into play (including this one), gain (2 Rune).
	Sordid Asp	Monster		3	1	4	RotF	Reward: Gain (1 Honor), then steal (2 Honor) from an opponent with the most (Honor) if they have more than you.
	Soul Assassin	Void	Hero	4	2	2	SoS	Gain (2 Power). The next time you defeat a Monster in the center row this turn, gain (2 Rune).
	Soul Collector	Void	Construct	6	4	1	Promo	Once per turn, add a Soul counter to this if you've defeated a Monster in the center row.  Once per turn, gain (Power) equal to the number of Soul counters on this.
	Soul Shaper	Void	Hero	2	1	2	IH	You may banish this or another card in your hand.  If you do, gain a Soul Gem.  If the current Event is Void, you may banish a card in your discard pile to gain a Soul Gem instead.
	Souls Unbound	Monster	Event	0	0	0	IH	Monsters in the center row are Unbanishable.  Event Trophy: Discard a card.  If you do, gain a Soul Gem.
	Spark Sprayer	Mechana	Construct	4	4	2	IH	Once per turn, you may destroy a Mechana Construct you control to gain (1 Power).  If the current event is Mechana, gain an additional (1 Power).
	Spider Witch	Lifebound	Hero	3	2	3	IH	Gain (2 Honor).   Unite:  Gain a Soul Gem. (Gain this effect once if you play or have played another Lifebound Hero this turn.)
	Spike Vixen		Soul Gem	0	0	2	IH	Gain (1 Power). Draw a card. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Spike Vixen	Void	Hero	2	1	2	CotG	Gain (1 Power). Draw a card.
	Spirit Merchant	Void	Hero	1	1	3	RoV	FATE: When this enters the center row, for each Treasure under this, each player may banish a card in their hand or discard pile.  Gain (1 Energy).  You may banish a card in your hand or discard pile.
	Starcaller Leotan	Lifebound	Hero	6	3	1	RoV	Gain (4 Honor).  Energize: Gain an additional (1 Honor) for each (Energy) you have gained this turn.
	Starchild	Lifebound	Hero	4	2	3	SoS	Gain (1 Rune) and (1 Honor). Draw a card.
	Stone Circle Elder	Lifebound	Hero	5	3	2	IH	Acquire a Hero with cost (5 Runes) or less without paying its cost. Put it on top of your deck. If the current Event is Lifebound, draw a card.
	Stone Circle	Lifebound	Construct	5	4	2	RotF	FATE: When this enters the center row, each player may acquire a Mystic.  Put it on top of their deck.  Once per turn, when you acquire a Hero, you may put it on top of your deck.
	Synchronizer	Mechana	Construct	3	3	2	SoS	once per turn, when you play a Mechana Construct (including this one), gain (1 Rune).
	Syril, Runic Alpha	Lifebound	Hero	6	2	1	SoS	Gain (3 Rune). Unite: Gain (3 Power). (Gain this effect once if you play or have played another Lifebound Hero this turn.)
	Tablet of the Dreamer	Enlightened	Construct	5	3	1	RoV	Energize (4): Once this turn, acquire defeat any card in the center row without paying its cost.
	Tablet of Time's Dawn	Enlightened	Construct	5	2	1	CotG	You may banish this Construct to take an additional turn after this one.
	Tarik, the Trickster	Monster		6	5	1	SoS	Reward: Gain (5 Honor). You may choose a Hero in the center row and copy its effect.
	Temple Guardian	Enlightened	Hero	5	4	2	IH	Defeat a Monster with (5 power) or less without paying its cost. If the current event is Enlightened, draw a card.
	Temple Librarian	Enlightened	Hero	2	1	3	CotG	Discard a card. If you do, draw two cards.
	Temporal Eye	Enlightened	Construct	3	1	3	RoV	When this enters play, draw a card.  You may banish this and another Temporal Eye you control to take an additional turn.
	Terrus, Paragon of Strife	Monster		7	5	1	RoV	Reward: Gain (5 Honor).  Each opponent discards a random card from their hand. You may choose a card discarded this way and put it in your hand.
	The All-Seeing Eye	Enlightened	Construct	6	2	1	CotG	Once per turn, you may draw a card.
	The Grand Design	Mechana	Construct	6	6	2	CotG	Once per turn, gain (2 Rune). You may spend it only to acquire Mechana Constructs.
	The Great Eclipse	Lifebound	Event	0	0	0	IH	When a player acquires a Lifebound card, that player may put it on top of his deck.  Event Trophy: Name a Hero.  That Hero is also Lifebound this turn.
	The World Tree	Lifebound	Construct	7	4	1	IH	Once per turn, you may pay up to (5 Runes) to gain that much (Honor).  When you play a Lifebound Hero, gain (1 Rune).
	Tome of Erabus	Void	Construct	4	2	2	RoV	Once per turn, gain (1 Energy).
	Toric, Ascendant	Enlightened	Transformed Hero	6	5	1	DU	Acquire a Hero without paying its cost and put it into your hand.
	Toric, Devoted Disciple	Enlightened	Hero	6	3	1	DU	Energize (4): Transform this into Toric, Ascendant. (Ignore the rest of this card's effect). Copy the effect of a Hero in the center row.
	Tormented Soul	Monster		3	1	3	CotG	Reward: Gain (1 Honor). Draw a card.
	Tower Askara	Enlightened	Hero	5	2	2	SoS	Draw three cards, then discard two cards or one Enlightened card.
	Treasure Hunter	Void	Hero	2	1	3	RoV	Gain (2 Power).  You pay (1 Power) less the next time you defeat a Monster with Treasure under it this turn.
	Treasures of the Study	Enlightened	Construct	5	3	1	SoS	Once per turn, you may discard two cards. If you do, Gain (3 Honor).
	Trophy Hunter	Void	Hero	3	1	3	IH	Gain (2 Power).  You pay (1 Power) less the next time you defeat a Trophy Monster this turn.
	Truth Seeker	Enlightened	Hero	4	2	2	RoV	Draw a card. You may banish a card in the center row. If the next card to enter the center row is a Treasure, acquire it.
	Twisted Tyrant	Monster		6	6	2	RoV	Reward: Gain (6 Honor).  Energize (3): Draw three cards.
	Twofold Askara	Enlightened	Hero	4	2	1	CotG	Copy the effect of a Hero played this turn.
	Ulu, Askara Prince	Enlightened	Hero	6	3	1	RoV	Copy the effect of a Hero played this turn. This effect cannot be copied.  Energize (2): Copy the chosen effect an additional time.
	Umbral Edge	Void	Construct	6	3	1	SoS	Once per turn, gain (2 Power). Gain an additional (2 Power) if you control Penumbral Edge.
	Unchained Fates	Monster	Trophy	7	5	1	SoS	Reward: Gain (5 Honor).  Trophy: You may banish this to draw two cards.
	Valiant Ascetic	Enlightened	Hero	2	1	2	DU	You may banish this to defeat a Monster with cost (5 Power) or less without paying its cost.
	Vandal Soul	Monster		4	3	3	SoS	Reward: Gain (3 Honor). Each opponent destroys the lowest cost Construct they control.
	Vault Lich	Monster		3	3	4	DU	FATE: When this enters the center row, banish each card in the center row with Treasure under it. Gain (3 Honor). You may banish a card in the center row with Treasure under it.
	Vault Sphinx	Monster	Trophy	4	2	3	RoV	Reward: Gain (2 Honor).  Trophy: You may banish this to gain (2 Energy).
	Vaultbreaker Wurm	Monster		5	4	3	RotF	Reward: Gain (4 Honor). Each opponent must put their highest cost Construct into their Discard pile. (They choose in case of a tie.)
	Vedah, Sage of Swords	Enlightened	Hero	7	4	1	Promo	Reveal the top card of the center deck. Draw it or defeat it without paying its cost.
	Veya, Handmaiden of Logos	Enlightened	Hero	7	4	1	DU	Choose one: Acquire a Hero with cost (6 Rune) or less without paying its cost, or defeat a Monster with cost (6 Power) or less without paying its cost. Energize (2): Instead, you may choose both.
	Void Avenger	Void	Hero	5	3	2	IH	Gain (3 Power).  The next time you defeat a Monster in the center row this turn, gain a Soul Gem.
	Void Initiate		Soul Gem	0	0	2	IH	Gain (1 Rune). You may banish a card in your hand or discard pile. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Void Initiate	Void	Hero	1	1	3	CotG	Gain (1 Rune). You may banish a card in your hand or discard pile.
	Void Mesmer	Void	Hero	6	3	2	Promo	Gain (2 Power). The next time you defeat a Monster this turn, you may acquire a Hero of equal or lesser cost without paying its cost.
	Void Militia	Void	Hero	1	1	3	SoS	Gain (1 Power). You may pay (1 Power) less the next time you defeat a Monster in the center row this turn.
	Void Rising	Void	Event	0	0	0	SoS	Once per turn, when a player defeats a Monster in the center row, that player gains (1 Honor).  Event Trophy: Banish a card in your hand or discard pile.
	Voidfeeder	Void	Construct	5	3	2	RoV	Once per turn, gain (1 Power).  Energize (2): Once this turn, you may banish a card in your hand or discard pile.
	Voidsworn Champion	Void	Transformed Hero	2	3	2	DU	Gain (4 Power).
	Voidsworn Warrior	Void	Hero	2	1	2	DU	Energize (2): Transform this into Voidsworn Champion. (Ignore the rest of this card's effect). Gain (1 Power).
	Voidthirster	Void	Construct	5	3	2	CotG	Once per turn, gain (1 Rune). The first time you defeat a Monster in the center row each turn, gain (1 Honor).
	Vortex	Monster		6	4	1	Promo	Reward: Gain (4 Honor). Flip this onto the center row from a height of at least one foot. Once it lands, choose a card it touches. You may acquire or defeat that card.
	Wandering Askara	Enlightened	Hero	3	1	3	IH	Draw a card, then you may banish a card in the center row.  If you have played another Wandering Askara this turn, you may banish both cards to take another turn after this one.
	Watchmaker's Altar	Mechana	Construct	5	5	2	CotG	Once per turn, gain (1 Rune). You may spend it only to acquire Mechana Constructs.
	Weapon 303V	Mechana	Construct	8	8	1	SoS	Once per turn, when you play a Mechana Construct (including this one), gain (3 Power).
	Webclaw	Monster		4	3	2	DU	Gain (3 Honor). Each opponent with three or more Constructs in play destroys a Construct they control. Energize (3): Instead, each opponent destroys a Construct they control.
	Wildcall Staff	Lifebound	Construct	5	3	2	RoV	Once per turn, you pay (2 Runes) less to acquire a card with Treasure under it.
	Wind Tyrant	Monster		5	3	3	CotG	Reward: Gain (3 honor) and (3 Rune).
	Wolf Acolyte	Lifebound	Hero	1	1	3	IH	Gain (1 Rune). Unite: Draw a card
	Wolf Shaman		Soul Gem	0	0	2	IH	Gain (1 Rune). Draw a card. (This turn, you may banish this to gain its effect.  If you don't, banish this at the end of the turn.)
	Wolf Shaman	Lifebound	Hero	3	1	3	CotG	Gain (1 Rune). Draw a card.
	Xeron, Duke of Lies	Monster		6	3	1	CotG	Reward: Gain (3 Honor). Take a card at random from each opponent's hand and add that card to your hand.
	Yggdrasil Staff	Lifebound	Construct	4	2	2	CotG	Once per turn, gain (1 Power). Once per turn, you may spend (4 Rune) to gain (3 Honor).
	Yolocryx the Guardian	Mechana	Transformed Hero	8	8	1	DU	Gain (5 Power) and an additional (1 Power) for each Mechana Construct you control. When you play a Mechana Construct, you may return this from your discard pile to your hand.
	Yolothian Monolith	Mechana	Construct	8	8	1	DU	Energize (4): Transform this into Yolocryx, the Guardian and put it into your hand.
	Zeta Arsenal	Mechana	Construct	6	6	2	RoV	Energize (3): Once this turn, gain (1 Power) for each Mechana Construct you control.
	Zombie Apprentice			0	0	0	KSSD	(+1 Rune).
	Zombie Militia			0	0	0	KSSD	(+1 Power).
